Continent,Subregion,Country,Year,Period,Medium,High,Low
Europe,Southern Europe,Serbia,1958,past,7439611,7439611,7439611
Europe,Southern Europe,Slovenia,1958,past,1564362,1564362,1564362
Europe,Southern Europe,Spain,1958,past,29811311,29811311,29811311
Europe,Southern Europe,North Macedonia,1958,past,1451021,1451021,1451021
Europe,Western Europe,Austria,1958,past,7008415,7008415,7008415
Europe,Western Europe,Belgium,1958,past,9053640,9053640,9053640
Europe,Western Europe,France,1958,past,44659052,44659052,44659052
Europe,Western Europe,Germany,1958,past,72547581,72547581,72547581
Europe,Western Europe,Liechtenstein,1958,past,15767,15767,15767
Europe,Western Europe,Luxembourg,1958,past,310258,310258,310258
Europe,Western Europe,Monaco,1958,past,21405,21405,21405
Europe,Western Europe,Netherlands,1958,past,11144074,11144074,11144074
Europe,Western Europe,Switzerland,1958,past,5128443,5128443,5128443
America,Caribbean,Anguilla,1958,past,5939,5939,5939
America,Caribbean,Antigua and Barbuda,1958,past,52280,52280,52280
America,Caribbean,Aruba,1958,past,50500,50500,50500
America,Caribbean,Bahamas,1958,past,99776,99776,99776
America,Caribbean,Barbados,1958,past,229883,229883,229883
America,Caribbean,British Virgin Islands,1958,past,7855,7855,7855
America,Caribbean,Bonaire; Sint Eustatius and Saba,1958,past,7855,7855,7855
America,Caribbean,Cayman Islands,1958,past,7427,7427,7427
America,Caribbean,Cuba,1958,past,6880729,6880729,6880729
America,Caribbean,Curaçao,1958,past,123481,123481,123481
America,Caribbean,Dominica,1958,past,57775,57775,57775
America,Caribbean,Dominican Republic,1958,past,3079136,3079136,3079136
America,Caribbean,Grenada,1958,past,86572,86572,86572
America,Caribbean,Guadeloupe,1958,past,260249,260249,260249
America,Caribbean,Haiti,1958,past,3719427,3719427,3719427
America,Caribbean,Jamaica,1958,past,1591821,1591821,1591821
America,Caribbean,Martinique,1958,past,267209,267209,267209
America,Caribbean,Montserrat,1958,past,12799,12799,12799
America,Caribbean,Puerto Rico,1958,past,2239834,2239834,2239834
America,Caribbean,Saint Kitts and Nevis,1958,past,50545,50545,50545
America,Caribbean,Saint Lucia,1958,past,88123,88123,88123
America,Caribbean,Saint Vincent and the Grenadines,1958,past,78196,78196,78196
America,Caribbean,Sint Maarten (Dutch part),1958,past,2460,2460,2460
America,Caribbean,Trinidad and Tobago,1958,past,808219,808219,808219
America,Caribbean,Turks and Caicos Islands,1958,past,5641,5641,5641
America,Caribbean,United States Virgin Islands,1958,past,30488,30488,30488
America,Central America,Belize,1958,past,86952,86952,86952
America,Central America,Costa Rica,1958,past,1236387,1236387,1236387
America,Central America,El Salvador,1958,past,2619901,2619901,2619901
America,Central America,Guatemala,1958,past,3967743,3967743,3967743
America,Central America,Honduras,1958,past,1927101,1927101,1927101
America,Central America,Mexico,1958,past,35487956,35487956,35487956
America,Central America,Nicaragua,1958,past,1662905,1662905,1662905
America,Central America,Panama,1958,past,1068544,1068544,1068544
America,South America,Argentina,1958,past,19810165,19810165,19810165
